TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
Α,ἆ,,ἆ,ah!,ah!,ah!,0,,,0,Interjection,http://logeion.uchicago.edu/index.html#ἆ
ΑΒΑΤΟΣ,ἄβατος,,ἄβατος –ον,"untrodden, impassable, inaccessible","untrodden, impassable, inaccessible","untrodden, impassable, inaccessible",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἄβατος
ΑΓΑΛΜΑ,ἄγαλμα,αγαλμα,ἄγαλμα –ατος τό,"glory, statute, pleasing gift","a glory, delight, honour; a cult statue","a glory, delight, honour; a cult statue",3,,,0,Noun,http://logeion.uchicago.edu/index.html#ἄγαλμα
ΑΓΑΝ,ἄγαν,αγαν,ἄγαν,too much,"very, much, very much","very, much, very much",0,,,0,Adverb,http://logeion.uchicago.edu/index.html#ἄγαν
ΑΓΓΕΛΙΑ,ἀγγελία,,ἀγγελία –ας ἡ,"a message, tidings, news","a message, tidings, news","a message, tidings, news",1,,,0,Noun,http://logeion.uchicago.edu/index.html#ἀγγελία –ας
ΑΓΓΕΛΟΣ,ἄγγελος,αγγελος,ἄγγελος –ου ὁ,messenger,"a messenger, envoy","a messenger, envoy",2,,,0,Noun,http://logeion.uchicago.edu/index.html#ἄγγελος
ΑΓΚΑΛΗ,ἀγκάλη,,ἀγκάλη –ης ἡ,the bent arm,the bent arm,the bent arm,1,,,0,Noun,http://logeion.uchicago.edu/index.html#ἀγκάλη
ΑΓΝΟΣ/2,ἁγνός,,ἁγνός –ή –όν,full of religious awe,full of religious awe,full of religious awe,1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἁγνός
ΑΓΡΙΟΣ,ἄγριος,αγριος,ἄγριος –α –ον,savage; wild; fierce,"(living in the fields) wild, savage, harsh","(living in the fields) wild, savage, harsh",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἄγριος
ΑΓΩ,ἄγω,αγω,ἄγω ἄξω ἤγαγον ἦχα ἦγμαι ἤχθην,"do, drive, go",to lead,to lead,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἄγω
ΑΔΕΛΦΗ,ἀδελφή,αδελφη,ἀδελφή –ῆς ἡ,sister,a sister,a sister,1,,,0,Noun,http://logeion.uchicago.edu/index.html#ἀδελφή
ΑΕΙ,ἀεί,αει,αἰέν αἰεί αἰέν,"always, ever","always, for ever","always, for ever",0,,,0,Adverb,http://logeion.uchicago.edu/index.html#αἰέν
ΑΕΚΩΝ,ἀέκων,αεκων,ἀέκων –ουσα –ον,unwillingly,"against one's will, unwilling","against one's will, unwilling",2,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἀέκων
ΑΘΛΟΣ,ἆθλος,αθλος,ἆθλος –ου ὁ,contest,a contest for a prize,a contest for a prize,2,,,,Noun,http://logeion.uchicago.edu/index.html#ἆθλος
ΑΘΥΜΕΩ,ἀθυμέω,,ἀθυμέω ἀθυμήσω ἠθύμησα ἠθύμηκα ––– –––,"to be disheartened, lose heart","to be disheartened, lose heart","to be disheartened, lose heart",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀθυμέω
ΑΙΑΙ,αἰαῖ,,αἰαῖ,ah!,ah!,ah!,0,,,0,Interjection,http://logeion.uchicago.edu/index.html#αἰαῖ
ΑΙΔΗΣ,ᾍδης,,ᾍδης –ου ὁ,Hades,Hades,Hades,1,,,1,Noun,http://logeion.uchicago.edu/index.html#ᾍδης
ΑΙΔΩΣ,αἰδώς,αΙδως,αἰδώς αἰδοῦς ἡ,"shame, sense of honor","a sense of shame, shame, modesty, self-respect","a sense of shame, shame, modesty, self-respect",3,,,0,Noun,http://logeion.uchicago.edu/index.html#αἰδώς
ΑΙΘΗΡ,αἰθήρ,,αἰθήρ –έρος ὁ/ἡ,"ether, the brighter purer air, the sky","ether, the brighter purer air, the sky","ether, the brighter purer air, the sky",3,,,0,Noun,http://logeion.uchicago.edu/index.html#αἰθήρ
ΑΙΚΙΖΩ,αἰκίζω,,αἰκίζω αἰκιῶ ᾔκισα ᾔκικα ᾔκισμαι ᾐκίσθην,"to treat injuriously, to plague, torment","to treat injuriously, to plague, torment","to treat injuriously, to plague, torment",0,,,0,Verb,http://logeion.uchicago.edu/index.html#αἰκίζω
ΑΙΜΥΛΟΣ,αἱμύλος,,αἱμύλος [–η] –ον,"flattering, wheedling, wily","flattering, wheedling, wily","flattering, wheedling, wily",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#αἱμύλος
ΑΙΝΙΓΜΑ,αἴνιγμα,,αἴνιγμα –ατος τό,"a dark saying, riddle","a dark saying, riddle","a dark saying, riddle",3,,,0,Noun,http://logeion.uchicago.edu/index.html#αἴνιγμα
ΑΙΡΕΣΙΣ,αἵρεσις,αιρεσις,αἵρεσις –εως ἡ,"a taking, capture (of a town)",a taking especially,a taking especially,3,,,0,Noun,http://logeion.uchicago.edu/index.html#αἵρεσις
