TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΚΟΙΛΟΦΩΝΟΣ,κοιλόφωνος,,κοιλόφωνος,hollowvoiced,hollowvoiced,hollowvoiced,,,,,,http://logeion.uchicago.edu/index.html#κοιλόφωνος
ΚΟΙΛΟΧΕΙΛΗΣ,κοιλοχείλης,,κοιλοχείλης,hollow-rimmed,hollow-rimmed,hollow-rimmed,,,,,,http://logeion.uchicago.edu/index.html#κοιλοχείλης
ΚΟΙΛΟΩ,κοιλόω,,κοιλόω,hollow out,hollow out,hollow out,,,,,,http://logeion.uchicago.edu/index.html#κοιλόω
ΚΟΙΛΩΔΗΣ,κοιλώδης,,κοιλώδης,"hollow-like, cavernous","hollow-like, cavernous","hollow-like, cavernous",,,,,,http://logeion.uchicago.edu/index.html#κοιλώδης
ΚΟΙΛΩΜΑ,κοίλωμα,,κοίλωμα,"a hollow, cavity","a hollow, cavity","a hollow, cavity",,,,,,http://logeion.uchicago.edu/index.html#κοίλωμα
ΚΟΙΛΩΝΥΞ,κοιλῶνυξ,,κοιλῶνυξ,hollow-hoofed,hollow-hoofed,hollow-hoofed,,,,,,http://logeion.uchicago.edu/index.html#κοιλῶνυξ
ΚΟΙΛΩΠΗΣ,κοιλωπής,,κοιλωπής,hollow-eyed,hollow-eyed,hollow-eyed,,,,,,http://logeion.uchicago.edu/index.html#κοιλωπής
ΚΟΙΛΩΠΗΣ/2,κοιλώπης,,κοιλώπης,holloweyed,holloweyed,holloweyed,,,,,,http://logeion.uchicago.edu/index.html#κοιλώπης
ΚΟΙΛΩΠΟΣ,κοιλωπός,,κοιλωπός,hollow to look at: hollow,hollow to look at: hollow,hollow to look at: hollow,,,,,,http://logeion.uchicago.edu/index.html#κοιλωπός
ΚΟΙΛΩΣΙΣ,κοίλωσις,,κοίλωσις,cavity,cavity,cavity,,,,,,http://logeion.uchicago.edu/index.html#κοίλωσις
ΚΟΙΜΑΟΜΑΙ,κοιμάομαι,,κοιμάομαι,sleep,sleep,sleep,,,,,,http://logeion.uchicago.edu/index.html#κοιμάομαι
ΚΟΙΜΑΩ,κοιμάω,,κοιμάω κοιμήσω ἐκοίμησα κεκοίμημαι ἐκοιμήθην,to lull,to lull,to lull,,,,,,http://logeion.uchicago.edu/index.html#κοιμάω
ΚΟΙΜΗΘΡΑ,κοιμήθρα,,κοιμήθρα,sleeping-place,sleeping-place,sleeping-place,,,,,,http://logeion.uchicago.edu/index.html#κοιμήθρα
ΚΟΙΜΗΜΑ,κοίμημα,,κοίμημα –ατος τό,sleep,sleep,sleep,,,,,Noun,http://logeion.uchicago.edu/index.html#κοίμημα
ΚΟΙΜΗΣΙΣ,κοίμησις,,κοίμησις,a lying down to sleep,a lying down to sleep,a lying down to sleep,,,,,,http://logeion.uchicago.edu/index.html#κοίμησις
ΚΟΙΜΗΤΗΡΙΟΝ,κοιμητήριον,,κοιμητήριον,sleeping-room,sleeping-room,sleeping-room,,,,,,http://logeion.uchicago.edu/index.html#κοιμητήριον
ΚΟΙΜΗΤΙΚΩΣ,κοιμητικῶς,,κοιμητικῶς,sleepily,sleepily,sleepily,,,,,,http://logeion.uchicago.edu/index.html#κοιμητικῶς
ΚΟΙΜΙΖΩ,κοιμίζω,,κοιμίζω κοιμιῶ ἐκοίμισα ––– ––– –––,to put to sleep,to put to sleep,to put to sleep,0,,,0,Verb,http://logeion.uchicago.edu/index.html#κοιμίζω
ΚΟΙΜΙΣΙΣ,κοίμισις,,κοίμισις,putting to sleep,putting to sleep,putting to sleep,,,,,,http://logeion.uchicago.edu/index.html#κοίμισις
ΚΟΙΜΙΣΤΗΣ,κοιμιστής,,κοιμιστής,one who puts to bed,one who puts to bed,one who puts to bed,,,,,,http://logeion.uchicago.edu/index.html#κοιμιστής
ΚΟΙΜΙΣΤΙΚΟΣ,κοιμιστικός,,κοιμιστικός,of or for putting to sleep,of or for putting to sleep,of or for putting to sleep,,,,,,http://logeion.uchicago.edu/index.html#κοιμιστικός
ΚΟΙΝΑΡΙΟΝ,κοινάριον,,κοινάριον,cynarium,cynarium,cynarium,,,,,,http://logeion.uchicago.edu/index.html#κοινάριον
ΚΟΙΝΑΩ,κοινάω,,κοινάω,"confide, entrust","confide, entrust","confide, entrust",,,,,,http://logeion.uchicago.edu/index.html#κοινάω
ΚΟΙΝΕΙΟΝ,κοινεῖον,,κοινεῖον,common hall,common hall,common hall,,,,,,http://logeion.uchicago.edu/index.html#κοινεῖον
ΚΟΙΝΗΙ,,,κοινός –ή –όν,common; adv. jointly,common; adv. jointly,common; adv. jointly,,,,,,http://logeion.uchicago.edu/index.html#κοινός
ΚΟΙΝΙΣΜΟΣ,κοινισμός,,κοινισμός,mixture of dialects,mixture of dialects,mixture of dialects,,,,,,http://logeion.uchicago.edu/index.html#κοινισμός
ΚΟΙΝΟΒΙΑΡΧΗΣ,κοινοβιάρχης,,κοινοβιάρχης,head of a κοινόβιον,head of a κοινόβιον,head of a κοινόβιον,,,,,,http://logeion.uchicago.edu/index.html#κοινοβιάρχης
ΚΟΙΝΟΒΙΟΣ,κοινόβιος,,κοινόβιος,living in community with others,living in community with others,living in community with others,,,,,,http://logeion.uchicago.edu/index.html#κοινόβιος
