"TITLE","LOCATION","LOCALDEF"
"A",,
"AB","1_1,1_19,1_84,1_110,1_114,1_160,1_186,1_235,1_270,1_288,1_297,1_369,1_371,1_372,1_380,1_435,1_485,1_525,1_550,1_568,1_596,1_626,1_642,1_730,1_753,2_2,2_8,2_41,2_65,2_87,2_91,2_203,2_255,2_274,2_282,2_290,2_375,2_404,2_429,2_455,2_480,2_603,2_611,2_613,3_24,3_94,3_98,3_130,3_149,3_168,3_239,3_335,3_345,3_447,3_533,3_536,3_570,3_639,3_647,3_687,4_79,4_230,4_258,4_356,4_375,4_377,4_574,4_6564_661,5_12,5_19,5_43,5_45,5_84,5_117,5_121,5_175,5_254,5_299,5_428,5_444,5_452,5_476,5_489,5_511,5_542,5_699,5_727,5_777,5_810,5_838,6_55,6_97,6_123,6_234,6_310,6_335,6_357,6_385,6_396,6_428,6_4506_500,7_25,7_63,7_99,7_106,7_118,7_132,7_141,7_143,7_152,7_181,7_209,7_219,7_255,7_270,7_281,7_286,7_289,7_310,7_324,7_454,7_484,7_647,7_674,7_704,7_708,7_770,8_1,8_51,8_115,8_130,8_142,8_207,8_3198_331,8_423,8_460,8_461,8_517,8_524,8_541,8_629,8_686,8_697,9_35,9_111,9_125,9_235,9_322,9_375,9_417,9_566,9_603,9_644,9_668,9_769,10_28,10_46,10_126,10_148,10_164,10_179,10_198,10_270,10_375,10_454,10_779,10_78811_174,11_226,11_230,11_281,11_301,11_358,11_449,11_499,11_577,11_721,11_724,11_743,11_747,11_750,11_802,11_853,12_101,12_225,12_292,12_298,12_412,12_446,12_603,12_621,12_787,12_844,12_853","(prep. with abl.), from, in relations of space, time, source, cause, and agency; from, 1.371; following a substantive directly, with ellipsis of participle, 1.160; at, on, to, 7.106; from the direction, on the side of, 5.19; in respect to, 11.174; according to, 9.235; from a period or point of time, 2.87; since, after, 1.730; (of persons), by, 2.429; ā tergō, from the rear, behind, 1.186; ab ūsque, as far as from, even from, 7.289. In composition, ab is unchanged before vowels and before i(= j), h, b, d, l, n, r, s; becomes abs before c, q, t, as before p; ā in āfui from absum; and au is used in auferō, from ab and ferō, and in aufugiō, from ab and fugiō."
"ABACTVS",,
"ABACVS",,
"ABALIENO",,
"ABARIS/N","9_344","a Rutulian warrior, 9.344."
"ABAS/N","1_121,3_286,10_170,10_427","1. The twelfth king of Argos, grandson of Danaus, 3.286. 2. A Trojan, follower of Aeneas, 1.121. 3. An Etruscan, 10.427."
"ABATOS",,
"ABAVVS",,
"ABBA",,
"ABBAS",,
"ABBATISSA",,
"ABDERVS/N",,
"ABDICO/1",,
"ABDITVM",,
"ABDITVS",,
"ABDO","1_60,2_553,2_574,7_387,9_579,11_810","to put away; with the point or place where, in the abl. alone or with a prep., the acc. with prep., or the dative; to hide, shut up, 1.60; to bury, plunge, thrust, 2.553."
"ABDOMEN",,
"ABDVCO","3_601,5_428,7_362,10_79","to lead away; remove, take away, 3.601; take away by force, 7.362; draw back, 5.428."
"ABELLA/N","7_740","Abella, a town in Campania, N.E. of Naples, 7.740."
"ABEO/1","1_196,1_415,2_25,2_382,2_675,3_452,4_281,5_162,5_166,5_305,5_314,5_318,7_733,9_386,9_700,10_670,10_800,10_859,11_366,11_855","to go away, depart, 2.675; go off, go aside, turn off, 5.162; pass into, sink into, 9.700; go forward, take the lead, 5.318; retreat, 2.382; change or be transformed."
"ABERRO/2",,
"ABHINC",,
