title	count(word_id)
ET/2	9616
SVM/1	9024
QVE	7976
QVI/1	7741
IN	6806
HIC/1	4007
IS	3682
NON	3364
AD/2	3236
EGO	2750
VT/4	2670
SVI/1	2656
OMNIS	2366
TV	2324
ILLE	2311
AB	2171
CVM/3	2064
ATQVE/1	1879
SI/2	1770
EX	1745
FACIO	1667
IPSE	1645
SED	1603
SVVS	1600
QVIS/1	1596
CVM/2	1503
POSSVM/1	1460
MAGNVS	1436
NEQVE	1418
RES	1398
VIDEO	1372
DO	1318
DICO/2	1313
HABEO	1244
AVT	1226
PER	1198
DE	1196
IAM	1192
MVLTVS	1036
MEVS	1036
VENIO	974
AC/1	968
ETIAM	901
NE/4	898
TVM	847
QVAM/1	836
HOMO	813
LOCVS	807
FERO	801
TVVS	796
MANVS/1	795
NEC/2	789
BELLVM	773
ALIVS	770
VNVS	755
DIES	751
PARS	739
TAMEN	733
VOLO/3	726
QVOD/1	718
HOSTIS	709
ROMANVS/A	691
DEVS	690
TEMPVS/1	668
INTER	660
NOS	659
ENIM/2	654
NAM	638
INQVIO	636
TOTVS	635
NOSTER	632
TANTVS	627
REX	617
SIC	613
VIR	611
ARMA	609
NVNC	607
IDEM	602
MITTO	602
NVLLVS	601
ANIMVS	601
CAVSA	601
PATER	600
VBI/1	597
CAESAR/N	597
VRBS	596
AT/2	576
AGO	569
PRIMVS	567
TERRA	558
NIHIL	551
AVTEM	546
IVBEO	538
PETO	525
POPVLVS/1	510
ITA	503
TAM	501
DVM/2	500
CASTRA/2	494
CORPVS	482
PVER	471
BONVS	469
DOMVS	469
ISTE	468
ANTE/2	466
NOMEN	463
NOX	460
SINE	460
ANNVS	457
QVIS/2	456
PRO/1	454
DVCO	454
AVDIO	443
ACCIPIO	440
TENEO	439
VIS	425
SVPERVS	424
FILIVS	424
SVB	423
COEPIO	423
RELINQVO	419
EO/1	418
ALTER	413
QVAERO	412
MORS	408
DVO	405
AMOR	404
CONSILIVM	402
NAVIS	396
CIVITAS	395
POST/2	395
VITA	394
VIRTVS	393
QVIDEM	393
PVTO	391
CAPIO/2	391
PONO	390
QVOQVE	386
SEQVOR	385
MILES	383
ITAQVE	380
ALIQVIS	367
MEDIVS	367
EXERCITVS/1	365
CAPVT	364
CREDO	363
QVIDAM	362
NISI	359
FIO	358
SCIO	357
NOVVS	356
COGNOSCO	355
TALIS	352
VOS	350
MATER	346
FINIS	345
ERGO/2	345
VOCO	345
O	344
VINCO	341
VOX	339
INGENS	337
OCVLVS	333
ALTVS	333
SOLVS	328
CAELVM/1	328
SAEPE	328
IMPERIVM	327
FVGIO	325
TOLLO	324
GERO	323
CONTRA/2	320
MENS	316
MILLE	315
LONGVS	315
PROELIVM	314
PES	314
OS/1	314
LABOR/1	313
FORTVNA	312
EQVVS	312
COPIA	310
LEGIO	309
GENVS/1	306
MARE	303
PARVVS/2	303
FLVMEN	301
MODO/1	299
AMO	299
SEMPER	298
FRATER	296
PERICVLVM	294
RELIQVVS	292
REFERO	288
VIVO	288
MAGIS/2	287
REGNVM	284
LEGATVS	284
GENS	283
MOS	277
FIDES/2	277
SVPER/2	277
SILVA	276
IVPPITER/N	276
EQVES	275
NEMO	275
ITER	273
MALVS/3	273
AENEAS/N	273
INTERFICIO	272
PECTVS	272
QVISQVE/2	270
VERBVM	268
DEINDE	268
MORIOR	268
HIC/2	267
SPES	267
INVENIO	266
VERO/3	266
LITVS	265
SIGNVM	264
LOQVOR	264
VEL/1	261
PROPTER/2	261
SIMVL/1	260
MONS	258
MISER	257
VLLVS	257
DEBEO	257
APVD	256
SOCIVS/1	255
OPPIDVM	254
CONSTITVO	252
SOLEO	251
TIMEO	251
STO	250
PARO/2	250
GRAVIS	250
DVX	250
IBI	249
VIA	249
IGNIS	248
TELVM	248
OPVS/1	248
FAMA	246
NVMERVS	246
PLACEO	244
CONSVL	242
BENE	240
AGER	239
PAVCI	239
FVGA	239
STATIM	238
RECIPIO	238
PROPE/2	238
SANGVIS	237
POSTQVAM	237
NOLO	236
RATIO	236
COGO	235
AVXILIVM	234
ROMA/N	234
PROVINCIA	233
LEX	231
CVRA	231
FATVM	231
QVIA	230
MOVEO	230
SATIS/2	230
IGITVR	230
HINC	229
VESTER	228
CETERVS	228
ROGO	227
REDEO/1	226
DIV	226
PATIOR	225
VENTVS	225
PRIMVM	225
GALLIA/N	224
NASCOR	224
TANDEM	223
QVISQVAM	222
AVDEO	219
HONOR	218
CERTVS	217
QVANTVS/1	215
SENATVS	214
MOX	214
REDDO	214
SERVVS/1	214
RESPONDEO	211
AVRVM	211
TRES	210
ARS	210
VNDA	209
FERRVM	209
PROFICISCOR	209
AN	209
PARENS/1	208
LONGE	208
QVO/2	207
FORTIS	207
MODVS	207
PAX	206
MVRVS	206
FILIA	206
PVBLICVS/2	205
IVS/1	204
NVMQVAM	204
ABSVM/1	204
ACIES	203
CARMEN/1	203
VERVS	203
VALEO	202
