TITLE,accented lemma,SEARCH LEMMA,DISPLAY LEMMA,English Definition,Decl,Idiom,Reg Adject/Adv/Form,Proper,Part Of Speech,DCC SEMANTIC GROUP,DCC Core Frequency,Herodotus 1 frequency rank,DCC Greek Core,Herodotus Book 1 Core (412 words > 10 times),Homer Core (Frequency Categories 1-4),National Collegiate Greek Exam Core,Fundamental 400 (BiCo Elementary Core),Fine 555 (BiCo Third Semester Core),Splendid 655 (BiCo Fourth Semester Core),Alpha to Omega (Groton),Greek: an Intensive Course (Hansen-Quinn),Introduction to Ancient Greek (Luschnig),Introduction to Attic Greek (Mastronarde 2013),Learn to Read Greek (Keller-Russell)
Ο,ὁ,ο,ὁ ἡ τό,the,,,,,Article,,1,1,1,1,1,,1,1,1,,1,1,4,1
ΑΥΤΟΣ,αὐτός,αυτος,αὐτός –ή –ό,his/her/itself,1,,,,Pronoun,,2,11,1,1,1,1,1,1,1,14,11,9.a,12,6
ΚΑΙ,καί,και,καί,and,,,,,Conjunction,,3,3,1,1,1,1,1,1,1,3,1,1.a,3,1
ΔΕ,δέ,δε,δέ,"but, and",,,,,Conjunction,,4,2,1,1,1,1,1,1,1,10,2,1.b,12,3
ΤΙΣ/2,τίς,τις/2,τίς τί,who? what?,6,,,,Pronoun,,5,5,1,1,3,1,1,1,1,21,15,8.a,15,9
ΕΙΜΙ/1,εἰμί,ειμι/1,"εἰμί, ἔσομαι, impf. ἦν, infin. εἶναι",to be,,,,,Verb,Humanity and Being,6,6,1,1,1,1,1,1,1,12,15,2,10,5
ΟΥΤΟΣ,οὖτος,ουτος,οὗτος αὓτη τοῦτο,this,6,,,,Pronoun,,7,7,1,1,2,1,1,1,1,13,9,3.b,13,2
Η/1,ἤ,η/1,ἤ,or,,,,,Conjunction,,8,61,1,1,1,1,1,1,1,"16,32",2,1.a,31,2
ΕΝ,ἐν,Εν,ἐν,"in, on",,,,,Preposition,,9,12,1,1,1,1,1,1,1,,1,1.b,3,1
ΜΕΝ-ΔΕ,μὲν-δέ,μεν-δε,μέν...δέ,on one hand…on the other,,1,,,Idiom,,10,10,1,,,,,,1,10,2,1.b,,
ΤΙΣ/1,τις,τις/1,τις τι,"anyone, anything, someone something",6,,,,Pronoun,,11,4,1,1,1,1,1,1,1,21,15,8.a,17,9
ΟΣ,ὅς,ος,ὅς ἥ τό,"who, which",1,,,,Pronoun,,12,17,1,1,1,1,1,1,1,23,6,2.a,8,5
ΓΑΡ,γάρ,γαρ,γάρ,for,,,,,Particle,,13,13,1,1,1,1,1,1,1,13,2,1.b,12,3
ΟΥ,οὐ,ου,οὐκ οὐχ οὐκι οὐχι,not,,,,,Adverb,,14,18,1,1,1,1,1,1,1,"3,26",2,2.a,3,2
ΛΕΓΩ,λέγω,λεγω,λέγω λέξω (or ἐρῶ) ἔλεξα (or εἶπον) εἴρηκα λελεγμαι (or εἴρημαι) ἐλέχθην (or ἐρρήθην),"say, mean",,,,,Verb,Communication,15,29,1,1,3,1,1,1,1,10,16,1.a,5,3
ΩΣ,ὡς,ως,ὡς,"as, as if, how; to",,,,,Adverb,,16,15,1,1,1,1,1,1,1,"24,31,32,38,40,45","3,8",7.a,"25,27,32",6
ΤΕ,τε,τε,τε,and,,,,,Conjunction,,17,9,1,1,,1,1,1,1,22,6,4.a,12,5
ΕΙΣ/2,εἰς,εις/2,εἰς,"into, to",,,,,Preposition,,18,8,1,1,1,1,1,1,1,4,1,1.b,3,1
ΕΠΙ,ἐπί,Επι,ἐπί,"on, upon",,,,,Preposition,,19,20,1,1,1,1,1,1,1,14,13,,8,4
ΚΑΤΑ,κατά,κατα,κατά,"against, down",,,,,Preposition,,20,33,1,1,1,1,1,1,1,20,6,6.a,12,5
ΕΓΩ,ἐγώ,Εγω,ἐγώ,I,6,,,,Pronoun,,21,22,1,1,1,1,1,1,1,14,15,9.a,21,6
ΠΡΟΣ,πρός,προς,πρός,"from, at, towards",,,,,Preposition,,22,37,1,1,2,1,1,1,1,17,12,2.a,8,3
ΓΙΓΝΟΜΑΙ,γίγνομαι,γιγνομαι,γίγνομαι γενήσομαι ἐγενόμην γέγονα γεγένομαι –––,"be born, become",,,,,Verb,Humanity and Being,23,19,1,1,2,1,1,1,1,32,13,1.a,11,6
ΕΑΝ,ἐάν,Εαν,ἐάν,"if (εἰ +ἄν), also ἤν",,,,,"Conjunction, Particle",,24,43,1,1,,1,1,1,1,37,4,13,35,12
ΔΙΑ,διά,δια,διά,"through, on account of",,,,,Preposition,,25,102,1,1,2,1,1,1,1,12,3,2.a,6,2
ΑΛΛΑ,ἀλλά,Αλλα,ἀλλά,but,,,,,Conjunction,,26,55,1,1,1,1,1,1,1,6,3,4.a,3,2
ΠAΣ,πᾶς,πᾶς,πᾶς πᾶσα πᾶν,"all, every",3,,,,Adjective,,27,16,1,1,1,1,1,1,1,23,8,6.a,22,6
ΕΧΩ,ἔχω,εχω,ἔχω ἕξω (or σχήσω) ἔσχον ἔσχηκα ––– –––,"have, possess, keep",,,,,Verb,,28,24,1,1,1,1,1,1,1,"6,17",17,1.a,"5,12",4
ΕΚ,ἐκ,Εκ,ἐκ,out of,,,,,Preposition,,29,26,1,1,1,1,1,1,1,4,1,3.b,3,1
ΠΟΛΥΣ,πολύς,πολυς,πολύς (πολλός) πολλή πολύ,"many, much",3,,,,Adjective,,30,41,1,1,"1,3",1,1,1,1,18,16,6.a,25,4
ΠΕΡΙ,περί,περι,περί,"about, concerning; near",,,,,Preposition,,31,65,1,1,2,1,1,1,1,18,3,"2.a,9.a",12,1
