TITLE,Bridge 50% Core List
ET/2,1
SVM/1,2
QVE,3
QVI/1,4
IN,5
HIC/1,6
NON,7
IS,8
TV,9
AD/2,10
EGO,11
VT/4,12
ILLE,13
QVIS/1,14
OMNIS,15
SVI/1,16
NEQVE,17
SED,18
AB,19
SI/2,20
CVM/3,21
ATQVE/1,22
POSSVM/1,23
SVVS,24
VIDEO,25
IPSE,26
EX,27
CVM/2,28
FACIO,29
DICO/2,30
DE,31
PER,32
IAM,33
MAGNVS,34
RES,35
DO,36
HABEO,37
MVLTVS,38
MEVS,39
AVT,40
TVVS,41
DEVS,42
ALIVS,43
VOLO/3,44
NE/4,45
VENIO,46
QVAM/1,47
VNVS,48
ETIAM,49
ENIM/2,50
TVM,51
TAMEN,52
PARS,53
FERO,54
CORPVS,55
HOMO,56
SIC,57
NAM,58
TERRA,59
NOSTER,60
DIES,61
ANIMVS,62
LOCVS,63
TANTVS,64
AC/1,65
MANVS/1,66
EO/1,67
NIHIL,68
TOTVS,69
NVNC,70
NVLLVS,71
BONVS,72
QVOD/1,73
TEMPVS/1,74
NOS,75
IDEM,76
INTER,77
DOMVS,78
VEL/1,79
AT/2,80
PATER,81
ISTE,82
VIR,83
VBI/1,84
BELLVM,85
AGO,86
MITTO,87
VRBS,88
QVIDAM,89
CAVSA,90
DVM/2,91
REDEO/1,92
ROMANVS/A,93
REX,94
ITA,95
PRIMVS,96
INQVIO,97
PETO,98
PRO/1,99
NOMEN,100
AVTEM,101
QVOQVE,102
AVDIO,103
TAM,104
PVER,105
MATER,106
HOSTIS,107
LONGVS,108
O,109
NEC/2,110
FIO,111
VIS,112
IVBEO,113
PARVVS/2,114
ANTE/2,115
CAESAR/N,116
SOLVS,117
QVIDEM,118
PVTO,119
QVAERO,120
SVB,121
ARMA,122
ACCIPIO,123
VERO/3,124
DVCO,125
SINE,126
POPVLVS/1,127
NISI,128
POST/2,129
NOX,130
VITA,131
ANNVS,132
CREDO,133
SAEPE,134
MORS,135
ALIQVIS,136
CAELVM/1,137
VOX,138
OS/1,139
TENEO,140
TALIS,141
NATVRA,142
PRIOR,143
SEMPER,144
ALTER,145
RATIO,146
MODVS,147
AMOR,148
MEDIVS,149
VIRTVS,150
SEQVOR,151
NOVVS,152
CAPIO/2,153
QVISQVE/2,154
QVIA,155
SVPERVS,156
VOCO,157
FILIVS,158
CAPVT,159
GENVS/1,160
SCIO,161
PONO,162
DEBEO,163
RELINQVO,164
DVO,165
IGNIS,166
CETERVS,167
ERGO/2,168
GERO,169
MENS,170
MILES,171
OCVLVS,172
VIVO,173
VINCO,174
AMICVS/2,175
MOVEO,176
IGITVR,177
CERTVS,178
DOMINVS,179
CONSILIVM,180
MARE,181
CASTRA/2,182
IRA,183
MALVS/3,184
PARO/2,185
VERBVM,186
CONTRA/2,187
NASCOR,188
VERVS,189
GRAVIS,190
AQVA,191
MAGIS/2,192
MOS,193
AN,194
COGNOSCO,195
QVANTVS/1,196
CIVITAS,197
SOL,198
VIA,199
SENTIO,200
ROMA/N,201
CVNCTVS,202
EQVVS,203
REFERO,204
PECTVS,205
QVIS/2,206
VLLVS,207
IVPPITER/N,208
AMO,209
REDDO,210
FRATER,211
PES,212
LIVIA/N,213
LOQVOR,214
ALTVS,215
FVGIO,216
FORTVNA,217
LABOR/1,218
MORIOR,219
MISER,220
SIMVL/1,221
GENS,222
NAVIS,223
SOLEO,224
MILLE,225
INGENS,226
MONS,227
STO,228
FINIS,229
IMPERIVM,230
ITER,231
SATIS/2,232
COEPIO,233
FORTIS,234
OPVS/1,235
QVISQVAM,236
MODO/1,237
LEX,238
ITAQVE,239
SCRIBO,240
LEGO/2,241
TOLLO,242
AVRVM,243
VNDA,244
SANGVIS,245
TANDEM,246
SVMMVS,247
REGNVM,248
AIO,249
PERICVLVM,250
PATIOR,251
NVMQVAM,252
FIDES/2,253
VTERQVE,254
CVRA,255
HONOR,256
SVPER/2,257
CVR/1,258
ROGO,259
APVD,260
COGO,261
PLACEO,262
SIGNVM,263
FLVMEN,264
CARMEN/1,265
DVX,266
EXERCITVS/1,267
TIMEO,268
COPIA,269
PVBLICVS/2,270
DEINDE,271
VNDE/1,272
