word_id,TITLE,By Roman Hands: Inscriptions & Graffiti for Students of Latin (Hartnett)
27377,APOLLONIA/N,46
27405,AREPO/N,5
27389,AVRIOLA/N,100
27403,BARO/N,58
27399,BRITTVNCVLVS/N,118
27396,CARATVS/N,71
27393,CELADVS/N,19
27411,DASVMIVS/A,"130, 130"
27402,DIOGRENIS/N,53
6126,EMEREO,75
27407,HELPIDIVS/A,"7,60"
27390,LEPIDINA/N,125
27387,METELLA,49
27380,MORATOR,20
27400,NVMERIVS/N,"137, 137"
27392,NYMPHIVS/N,13
27397,POPIDIVS/N,"89, 137"
27386,PRISCILLA/N,31
27395,PROCLVS/N,66
27406,PROCOPE/N,66
27410,RVFRENVS/A,55
27401,SAMNIS/A,32
27391,SEPTVMANVS/N,9
27381,SOLIDVS/1,50
27404,SOTERIS/N,130
27408,SVBITANEVS,13
27398,SVCCESSVS/N,100
27409,SVETTVS/A,18
17165,VLPIVS/A,101
27388,VMMIDIA/N,68
27394,ZONINVS/N,50
393,QVE,"1, 10, 10, 15, 21, 30, 41, 57, 68, 69, 80, 82, 116"
1,AB,"33, 74, 83, 137"
566,ABEO/1,39
578,ACCIPIO,"50, 83"
1544,ACCVMVLO,123
582,ACHAIA/N,82
5,AD/2,"74, 83, 119, 125, 125"
603,ALLIGO/2,138
605,ADMIROR,"90, 95"
609,ASSVM/1,108
1803,AEDES,"82, 137"
614,AEDIFICO,141
1813,AEDILIS,"18, 128"
1849,AEMILIVS/N,58
627,AEQVVS,"93, 99"
8,AER,11
635,AETERNVS,"34, 45, 121, 132"
1933,AETHER,57
639,AEVVM,"36, 56"
12,AGO,101
2005,AGRIPPA/N,81
663,ALIVS,39
2132,ALLEGO/2,137
14,ALTER,39
16,AMABILIS,33
2190,AMANS/2,54
2236,AMBVLO,135
673,AMICVS/2,"48, 108, 113"
19,AMO,"8, 8, 48, 71, 71, 104, 104, 104, 112, 112, 138"
21,AMOR,"54, 114, 139, 140"
2287,AMPLECTOR,41
24,ANIMA,"11, 36, 52, 79, 98, 132"
25,ANIMVS,"93, 141"
685,ANNVS,"13, 35, 36, 53, 60, 66, 83, 100, 101, 130, 136, 137"
2468,ANTONIVS/N,53
697,APOLLO/N,9
702,APVD,"101, 101"
703,AQVA,"69, 138"
707,ARA,"54, 64"
2627,AREA,119
2632,ARENA,35
728,ARMA,"10, 35"
2731,ARS,69
2748,ARTIFEX,69
2778,ASELLVS,26
2819,ASSIDVVS,138
2840,ASTO,39
741,ASTRVM,76
751,ATQVE/1,"11, 39, 129"
755,ATTINGO,107
2930,AVCTOR,77
758,AVDEO,127
33,AVFERO,14
2947,AVFIDIVS/N,111
760,AVGVR,136
2968,AVGVSTVS/N,"15, 75, 136"
2978,AVLVS/N,18
2980,AVRA,138
3005,AVSPICIVM,82
36,AVT,"69, 83, 105, 106"
768,AVTEM,"39, 90"
38,BACCHVS/N,108
3109,BALNEVM,"12, 12"
39,BEATVS,"62, 116"
783,BELLVM,"82, 83"
784,BENE,"13, 35, 53, 54, 60, 64, 82, 113, 130"
40,BIBO/2,"61, 61"
3275,BIMVLVS,102
3290,BIS,"35, 36, 45, 104"
3345,BONVS,"8, 21, 24, 36, 38, 105, 108, 128, 130"
794,BREVIS,"36, 86"
23961,BRITTO/N,118
3443,CACO,105
801,CADO,95
803,CAELVM/1,"21, 77"
3502,CAESAR/N,"80, 136"
3573,CALLISTO/N,130
3575,CALLISTVS/N,119
3611,CAMPANVS/A,29
3615,CAMPVS/1,116
3645,CANO,10
53,CAPIO/2,"82, 83, 129"
55,CAREO,37
3758,CARPO,73
3765,CARVS,"101, 102, 134"
3789,CASTELLVM,83
832,CAVSA,7
3902,CELERINVS/N,76
3909,CELSINVS/N,137
836,CENTAVRVS/N,42
3940,CENTIES,83
3949,CENTVRIO/1,75
3965,CERDO/N,101
843,CERTO/1,54
3985,CERTVS,"18, 54, 94"
63,CHORDA,22
66,CINIS,"6, 6, 57, 72, 121, 131"
4121,CIPPVS,106
4147,CIRCVMDO,35
868,CLAMOR,81
4243,CLAVDIA/N,"39, 101, 125"
4354,COHORS,64
75,COLO/2,"48, 116"
4431,COMICVS/2,100
4476,COMMODVS,39
4488,COMMVNIS,134
4525,COMPLECTOR,99
913,CONCORDIA,108
4639,CONFICIO,83
927,CONIVX,"53, 85, 101, 130, 134"
4697,COLLABOR/2,137
4737,CONSERVO,80
83,CONSILIVM,85
4793,CONSVL,"58, 80, 82, 136"
4796,CONSVLO,80
937,CONSVMO,"30, 79"
4810,CONTEMNO,84
4835,CONTINGO/1,122
4843,CONTRA/2,66
86,COR,39
949,CORINTHVS/N,82
4962,CORPOREVS,76
953,CORPVS,"11, 12, 57, 79"
4973,CORRVMPO,12
955,CREDO,"81, 90"
956,CREO,"39, 123"
5077,CRIMEN,36
92,CVM/2,"9, 29, 40, 45, 81, 130"
93,CVM/3,"50, 77, 134, 135, 136, 137"
94,CVNCTVS,"54, 87"
5196,CVPA/1,59
975,CVPIO,"133, 139"
5208,CVRATOR,88
97,CVRO,"88, 89"
98,CVRRO,138
5227,CVRSVS,"54, 69"
5309,DACVS/A,33
104,DE,"53, 54, 96"
988,DEA,"6, 16"
106,DECEM,101
5394,DECENTER,81
992,DECIPIO,"4, 33, 96"
5430,DECVRIO/1,137
109,DECVS,19
5441,DEDICO/1,82
5445,DEDITIO,83
997,DEIANIRA/N,42
5513,DELEO,82
5573,DENI,"35, 36"
5609,DEPRIMO,83
5637,DESERTVS,139
5643,DESIDERO,47
5647,DESIGNO,"80, 136"
118,DEVS,"21, 66, 74, 79, 101, 105, 111, 113, 113, 116"
1026,DIANA/N,105
5753,DICO/1,39
1027,DICO/2,"39, 49, 69, 73, 76, 110"
5756,DICTATOR,129
1029,DIES,"13, 45, 68, 77, 100, 101, 101, 125, 125"
5796,DIGNVS,38
5807,DILIGO/3,39
5857,DIS/N,"45, 53, 56, 100, 101, 130"
1040,DISCEDO/1,20
5875,DISCO,"132, 133"
1048,DIV,135
5985,DIVVS/2,"15, 15, 55, 80, 129, 136"
125,DO,"17, 44, 51, 56, 63, 71, 129"
5987,DOCEO,"34, 35, 69, 142"
5988,DOCILIS,35
5991,DOCTRINA,69
6002,DOLEO,91
6024,DOMINVS,"50, 119"
1054,DOMVS,"34, 39, 45, 85, 87"
1057,DORMIO,47
1061,DVCO,"41, 69, 99"
6084,DVCTVS,82
131,DVLCIS,"98, 98, 102, 102"
133,DVM/2,"94, 108, 132, 133"
1063,DVO,"39, 101"
1064,DVODECIM,105
6102,DVODEVIGINTI,53
1065,DVX,61
140,EGO,"6, 8, 23, 26, 35, 45, 50, 50, 66, 81, 81, 85, 94, 94, 102, 119, 119, 121, 123, 125, 135"
6253,EGREGIVS,7
6307,ELYSIVS/A,116
6343,EN,131
1092,EO/1,100
27369,EPIDIVS/N,89
1098,EPVLOR,108
6425,EQVES,"118, 118"
6447,ERGO/2,6
1105,ERIPIO,23
6472,ERVO,75
6127,ESCENDO,102
146,ET/2,"16, 18, 26, 34, 35, 37, 47, 54, 54, 57, 59, 74, 75, 81, 81, 82, 85, 100, 101, 105, 105, 110, 113, 119, 121, 130, 131, 138, 141"
1138,EXIMIVS,31
6775,EXSPECTO,3
1151,EXSTINGVO,7
1160,FABRICA,69
6836,FABRICIVS/N,88
152,FACIO,"12, 39, 53, 88, 89, 91, 103, 106, 111, 113, 121, 124, 124, 124, 125, 125, 128, 130"
6854,FACTIO,54
1162,FACTVM,123
6891,FAMA,54
6893,FAMILIA,18
6929,FATEOR,49
1167,FATVM,"7, 14, 33, 52, 54, 65, 115, 117, 134"
6949,FAVILLA,131
6966,FELIX/N,111
154,FELIX,"62, 63, 111"
1170,FEMINA,"39, 67"
155,FERO,"68, 128"
157,FIDES/2,"8, 83"
1182,FILIA,"124, 124"
1183,FILIVS,"15, 59, 80, 82, 88, 89, 96, 136, 137"
7062,FILVM,99
1185,FINIS,17
158,FIO,84
7116,FLAVIVS/N,53
160,FLOREO,36
1197,FONS,138
165,FORMOSVS,34
7202,FORTE,139
166,FORTIS,54
167,FORTVNA,"44, 51, 62, 141"
168,FRATER,41
7282,FRONTO/N,38
7292,FRVMENTARIVS/2,58
7298,FRVOR,"37, 63, 106, 108, 114"
171,FVGIO,"37, 87, 119"
172,FVGO,83
7332,FVLLO,10
7343,FVMO,72
174,FVNDAMENTVM,137
175,FVNDO/2,83
7390,FVSCVS/N,54
1213,FVTVRVS,96
7413,GAIVS/N,"75, 88, 128"
7435,GALLONIVS/N,64
177,GAVDEO,76
178,GAVDIVM,"51, 132"
7500,GEMO,70
1219,GENVS/1,123
182,GERO,82
7548,GESTVS,34
7554,GIGNO,123
7570,GLADIATORIVS,18
1221,GLADIVS,118
7596,GLYCO/N,98
7597,GNAEVS/N,"58, 83"
7626,GRADVS,"73, 117"
1229,GRATIA,"22, 101"
189,GRATVS,"34, 137"
7680,GRESSVS,73
1233,GVBERNATOR,21
1235,HABEO,"105, 113, 120, 141"
194,HABITO,2
7793,HAVD,39
1248,HERCVLES/N,"16, 82"
7892,HEVS,135
200,HIC/1,"2, 7, 9, 20, 31, 34, 36, 38, 39, 39, 40, 45, 46, 47, 57, 59, 64, 65, 67, 69, 71, 76, 82, 82, 92, 98, 102, 103, 105, 116, 122, 126, 129, 133, 133, 135, 137, 138, 141"
7926,HILARIS,108
1255,HOMO,"33, 83, 101, 132"
8000,HONESTVS,"7, 98"
8001,HONOR,"38, 123"
203,HORA,101
1257,HOSPES,"39, 49, 72, 110, 126"
1258,HOSPITIVM,"9, 40"
8063,HVMO,34
205,IACEO,"7, 31, 34, 98, 133"
8127,IACVLVM,118
206,IAM,"17, 17, 41"
209,IDEM,"44, 141"
8178,IDVS,125
1277,IGNIS,"58, 140"
212,ILLE,"35, 85, 85, 139"
8277,IMMATVRVS,124
8327,IMPERATOR,"80, 80, 82, 83"
1291,IMPERIVM,82
218,IN,"39, 41, 49, 57, 57, 58, 59, 76, 82, 83, 83, 98, 101, 102, 119, 139, 142"
8454,INCENDIVM,30
8464,INCESSVS,39
1309,INCLVDO,46
1325,INFANS/1,102
8633,INFELIX,"14, 100"
8639,INFERO,58
8724,INIQVVS/2,"7, 52"
8747,INNOCENS,66
8750,INNOCVVS,35
8829,INSOLENTIA,75
8888,INTEGER,"35, 54"
8980,INTERVENTVS,125
1366,INTRA/2,106
9052,INVICTVS,74
1370,INVIDIA,54
9055,INVIDVS/2,117
9087,IOVIS/N,"21, 105"
1378,IPSE,"94, 130"
9101,IRASCOR,105
229,IS,"22, 82"
1382,ISIS/N,137
230,ISTE,"68, 99"
1385,ITA,122
231,ITER,73
1390,ITERVM,72
233,IVCVNDVS,125
9192,IVLIVS/N,"55, 80"
9194,IVLVS/N,128
1396,IVNGO,114
9203,IVNIVS/N,18
1398,IVPPITER/N,"64, 129"
238,IVVENIS/2,"7, 35, 117, 120"
239,IVVENTVS,136
9241,IVVO,85
9258,KALENDAE,18
